# our_gap_ms badpass_delta_ms is_proxied
82.013 1696.779 0
52.831 1820.82 0
86.167 1886.162 0
46.479 1968.368 0
47.921 278.225 0
47.112 49.608 1
91.979 50.658 1
49.082 61.289 1
43.056 91.289 1
36.479 81.23 1
50.301 50.923 1
55.568 118.936 1
33.726 1212.532 1
66.767 102.716 0
197.397 1042.633 0
1202.858 43.687 0
1202.839 1142.876 0
1117.109 1107.239 0
1117.049 204.98 0
131.508 1137.58 0
1143.918 138.279 0
1144.02 1088.009 0
142.191 1057.447 0
1153.688 1167.125 0
1143.972 150.975 0
1144.079 61.461 0
1153.692 1157.184 0
1144.029 1088.057 0
127.53 77.016 0
1153.654 1167.015 0
120.757 1245.199 0
1145.802 1088.163 0
131.717 1137.681 0
59.217 86.691 1
80.232 82.996 0
45.878 72.058 1
48.995 79.404 1
48.403 57.441 1
35.958 49.085 1
48.318 182.821 1
43.61 -28.69 1
47.349 89.332 1
44.688 91.892 1
42.04 86.917 1
44.301 31.471 1
81.635 74.147 1
64.777 47.722 1
48.082 58.727 1
45.938 65.383 1
60.452 77.034 0
55.644 95.834 1
206.26 260.132 1
160.61 173.825 1
142.12 151.864 1
124.949 126.758 1
125.902 236.317 1
263.619 123.055 1
133.564 176.777 1
243.134 237.182 1
1219.167 1267.042 0
1177.073 1212.993 0
1376.292 88.573 0
1142.923 1342.793 0
80.509 0.342 0
120.395 183.585 0
31.072 1273.076 1
60.859 1224.674 1
79.633 147.959 0
63.647 1196.133 0
110.623 113.684 0
97.191 1249.758 0
76.789 1208.664 0
1153.096 1213.621 0
54.856 144.036 0
41.289 1239.358 0
1382.561 1389.746 0
63.874 54.292 0
60.791 102.657 0
1382.635 1389.904 0
263.601 239.353 0
178.466 246.365 1
236.284 201.526 1
123.603 124.176 1
131.425 241.379 1
127.92 236.439 1
236.178 126.534 0
174.899 232.407 1
125.691 208.247 0
123.671 147.281 1
164.393 123.964 1
0.0 -0.689 1
222.168 154.882 1
124.52 125.463 1
137.11 205.474 1
1.363 0.585 1
237.141 237.527 1
149.103 240.972 1
124.931 220.072 1
125.598 193.822 1
180.982 216.459 1
202.719 541.004 1
126.403 129.77 1
124.85 236.137 1
126.386 216.525 1
235.178 241.487 1
125.654 239.237 1
122.928 124.408 1
199.341 235.102 1
247.049 122.702 1
128.838 123.272 1
168.861 129.039 1
130.2 203.051 1
123.263 243.515 1
126.757 247.183 1
129.87 131.31 1
128.686 129.931 1
124.185 241.842 1
270.759 223.21 1
185.363 184.401 1
122.66 306.287 1
123.56 296.015 1
123.89 320.368 1
127.674 243.709 1
125.232 234.263 1
122.372 244.472 1
126.857 127.094 1
144.905 127.062 1
125.394 134.475 1
211.839 135.475 1
146.337 150.295 1
152.227 126.175 1
190.444 240.429 1
131.166 243.914 1
123.908 244.425 1
369.482 257.306 1
320.786 484.567 1
280.588 552.93 1
255.806 404.632 1
786.815 369.459 1
716.28 486.003 1
571.229 624.774 1
292.676 545.198 1
448.685 1419.409 1
264.871 613.72 1
0.068 1.37 1
0.321 1.613 1
0.119 1.701 0
0.044 0.824 0
294.574 534.938 0
259.942 343.892 1
305.825 264.237 1
258.353 261.092 1
496.693 243.912 1
265.661 640.234 1
322.929 591.334 1
259.513 636.312 1
415.302 527.903 1
337.549 272.353 1
266.194 371.801 1
592.115 300.981 1
610.449 878.178 1
679.362 606.03 1
250.598 331.074 1
341.622 1424.283 1
415.223 271.089 1
366.713 256.287 1
339.577 260.007 1
278.445 259.59 1
569.594 296.625 1
878.045 430.59 1
275.612 573.742 1
262.253 256.273 1
263.067 255.258 1
279.118 378.709 1
