t_rel,server,gap_ms,tcp_rtt_ms,syn_ttl,provider,protocol,country
,us,386.584,272.744,42,oxylabs,socks5,in
,us,367.15,293.015,51,oxylabs,socks5,in
,us,342.605,232.481,47,oxylabs,socks5,in
,us,395.034,277.978,49,oxylabs,socks5,in
,us,405.079,340.019,50,oxylabs,socks5,in
,us,1336.383,161.618,50,oxylabs,socks5,in
,us,363.008,273.003,55,oxylabs,socks5,in
,us,301.058,324.004,54,oxylabs,socks5,in
,us,330.968,274.019,48,oxylabs,socks5,in
,us,525.76,284.639,48,oxylabs,socks5,in
,us,347.966,221.708,52,oxylabs,socks5,in
,us,370.861,284.952,48,oxylabs,socks5,in
,us,364.542,251.782,45,oxylabs,socks5,in
,us,389.917,459.891,54,oxylabs,socks5,in
,us,489.596,250.032,49,oxylabs,socks5,in
,us,424.874,274.461,46,oxylabs,socks5,in
,us,348.558,319.999,55,oxylabs,socks5,in
,us,630.013,278.928,48,oxylabs,socks5,in
,us,700.607,270.062,50,oxylabs,socks5,in
,us,339.895,232.822,47,oxylabs,socks5,in
,us,337.042,281.935,54,oxylabs,socks5,in
,us,386.164,259.88,49,oxylabs,socks5,in
,us,291.19,309.592,55,oxylabs,socks5,in
,us,304.929,280.195,49,oxylabs,socks5,in
,us,308.841,231.679,46,oxylabs,socks5,in
,us,510.968,300.916,48,oxylabs,socks5,in
,us,376.987,342.886,49,oxylabs,socks5,in
,us,344.874,289.901,52,oxylabs,socks5,in
,us,489.962,404.747,55,oxylabs,socks5,in
,us,353.861,180.156,53,oxylabs,socks5,jp
,us,365.084,309.989,49,oxylabs,socks5,jp
,us,451.413,266.543,53,oxylabs,socks5,jp
,us,397.265,183.531,47,oxylabs,socks5,jp
,us,361.477,175.464,53,oxylabs,socks5,jp
,us,364.303,175.274,47,oxylabs,socks5,jp
,us,337.991,169.006,48,oxylabs,socks5,jp
,us,347.328,183.764,50,oxylabs,socks5,jp
,us,352.105,192.78,49,oxylabs,socks5,jp
,us,202.666,179.865,45,oxylabs,socks5,jp
,us,363.811,179.604,50,oxylabs,socks5,jp
,us,410.002,213.958,48,oxylabs,socks5,jp
,us,354.725,213.309,51,oxylabs,socks5,jp
,us,411.14,210.102,53,oxylabs,socks5,jp
,us,374.846,190.011,50,oxylabs,socks5,jp
,us,386.335,184.59,46,oxylabs,socks5,jp
,us,367.603,167.212,53,oxylabs,socks5,jp
,us,252.998,169.516,45,oxylabs,socks5,jp
,us,420.392,183.119,48,oxylabs,socks5,jp
,us,344.878,106.771,51,oxylabs,socks5,jp
,us,349.128,175.676,52,oxylabs,socks5,jp
,us,347.554,180.59,54,oxylabs,socks5,jp
,us,392.18,288.914,50,oxylabs,socks5,jp
,us,376.162,179.992,48,oxylabs,socks5,jp
,us,346.987,179.852,53,oxylabs,socks5,jp
,us,363.262,182.88,53,oxylabs,socks5,jp
,us,539.787,410.191,54,oxylabs,socks5,jp
,us,360.046,200.189,48,oxylabs,socks5,jp
,us,361.656,185.995,46,oxylabs,socks5,jp
,us,625.689,219.368,50,oxylabs,socks5,jp
,us,359.233,201.91,51,oxylabs,socks5,jp
